序号,代码,名称,股价,涨跌幅,占比,万股数,市值
1,002541,鸿路钢构,39.27,1.74%,9.09%,392.79,"16,615.17"
2,002078,太阳纸业,12.64,-1.17%,7.62%,988.02,"13,931.14"
3,002597,金禾实业,30.35,0.17%,6.34%,365.41,"11,583.40"
4,002375,亚厦股份,9.12,-1.94%,4.95%,911.14,"9,056.76"
5,603228,景旺电子,33.40,0.97%,4.40%,241.32,"8,048.01"
6,603517,绝味食品,79.61,-1.12%,3.68%,82.02,"6,727.01"
7,300558,贝达药业,108.42,-0.62%,3.36%,53.96,"6,138.10"
8,600201,生物股份,23.65,-2.07%,3.34%,225.89,"6,098.91"
9,001914,招商积余,25.54,2.90%,3.12%,216.36,"5,700.98"
10,002831,裕同科技,30.74,0.65%,2.96%,170.57,"5,415.58"
