000001,华夏成长混合,混合型,28.51%,-1.80%,-1.39%,-0.07%,19.63%,35.50%,50.62%,25.97%,20.10%,714.32%,6.53%,19.69%,-1.63%,5.08%,0.27%,-3.26%,23.64%,-6.71%,26.02%,-19.05%,17.19%,-22.73%,25.72%,15.29%,15.71%,7.25%,2020-06-30,4.88%,95.12%,0.00%,38.85,49.94,50.55,43.92,45.98,45.76,47.14,49.91,40.60,2017-03-28,至今,董阳阳,3年又235天,44.06%,2001-12-18,19.03%,1.49
000002,华夏成长混合(后端),混合型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000004,中海可转债债券C,债券型,12.85%,-2.02%,-2.54%,-2.33%,18.66%,24.76%,40.12%,14.25%,-15.65%,8.40%,16.99%,0.51%,-4.65%,9.08%,5.49%,-7.79%,21.64%,-4.81%,29.07%,-17.69%,-5.64%,-23.40%,-11.41%,51.67%,---,---,2020-06-30,28.21%,71.79%,0.00%,0.54,0.93,0.43,0.50,0.46,0.46,0.42,0.48,0.25,2018-09-12,至今,彭海平,2年又67天,39.91%,2013-03-20,23.13%,0.88
000005,嘉实增强信用定期债券,定开债券,2.27%,-0.20%,0.10%,-0.45%,-1.50%,3.38%,9.76%,17.86%,24.37%,43.51%,-0.74%,0.37%,2.24%,1.87%,2.02%,0.49%,1.78%,2.43%,6.31%,8.26%,2.83%,1.42%,9.38%,8.95%,---,---,2020-06-30,20.58%,79.42%,0.17%,0.56,0.51,0.57,0.61,1.23,1.21,1.36,1.36,1.36,2016-12-02,至今,刘宁,3年又351天,20.11%,2013-03-08,2.60%,0.71
000003,中海可转债债券A,债券型,13.36%,-2.01%,-2.53%,-2.22%,18.89%,25.17%,40.36%,14.91%,-14.43%,8.76%,17.09%,0.64%,-4.53%,8.95%,5.64%,-7.92%,21.64%,-4.81%,28.91%,-17.47%,-5.31%,-23.08%,-12.32%,51.18%,---,---,2020-06-30,46.09%,53.91%,0.02%,0.67,1.08,0.52,0.83,0.91,1.05,0.78,0.52,0.45,2018-09-12,至今,彭海平,2年又67天,40.36%,2013-03-20,23.01%,0.90
000004,中海可转债债券C,债券型,12.85%,-2.02%,-2.54%,-2.33%,18.66%,24.76%,40.12%,14.25%,-15.65%,8.40%,16.99%,0.51%,-4.65%,9.08%,5.49%,-7.79%,21.64%,-4.81%,29.07%,-17.69%,-5.64%,-23.40%,-11.41%,51.67%,---,---,2020-06-30,28.21%,71.79%,0.00%,0.54,0.93,0.43,0.50,0.46,0.46,0.42,0.48,0.25,2018-09-12,至今,彭海平,2年又67天,39.91%,2013-03-20,23.13%,0.88
000005,嘉实增强信用定期债券,定开债券,2.27%,-0.20%,0.10%,-0.45%,-1.50%,3.38%,9.76%,17.86%,24.37%,43.51%,-0.74%,0.37%,2.24%,1.87%,2.02%,0.49%,1.78%,2.43%,6.31%,8.26%,2.83%,1.42%,9.38%,8.95%,---,---,2020-06-30,20.58%,79.42%,0.17%,0.56,0.51,0.57,0.61,1.23,1.21,1.36,1.36,1.36,2016-12-02,至今,刘宁,3年又351天,20.11%,2013-03-08,2.60%,0.71
000006,西部利得量化成长混合,混合型,63.09%,-0.62%,2.78%,5.68%,37.89%,79.76%,---,---,---,97.67%,13.46%,27.55%,3.75%,11.49%,9.56%,-0.80%,---,---,---,---,---,---,---,---,---,---,2020-06-30,85.82%,14.18%,0.76%,2.54,7.24,4.07,1.29,1.39,1.24,1.37,1.78,1.78,2019-03-19,至今,盛丰衍,1年又244天,97.67%,2019-03-19,22.75%,2.49
000008,嘉实中证500ETF联接A,联接基金,21.87%,-0.54%,-0.62%,-3.29%,17.37%,31.41%,37.79%,1.45%,-8.64%,82.39%,6.47%,16.67%,-4.69%,6.20%,0.49%,-9.90%,30.71%,-12.12%,25.69%,-30.74%,1.12%,-14.27%,34.43%,34.80%,---,---,2020-06-30,32.95%,67.05%,0.10%,11.93,15.11,18.88,19.24,20.80,19.43,16.56,15.61,10.51,2016-01-05,至今,何如,4年又318天,0.70%,2013-03-22,21.41%,1.15
000009,易方达天天理财货币A,货币型,1.80%,0.04%,0.18%,0.51%,0.93%,2.12%,4.79%,8.83%,16.03%,30.40%,0.50%,0.43%,0.62%,0.58%,0.65%,0.62%,0.69%,0.69%,2.56%,3.71%,4.00%,2.62%,3.89%,5.08%,---,---,2020-06-30,8.97%,91.03%,0.02%,138.28,123.92,138.28,168.82,175.69,197.47,232.53,279.09,345.18,2016-03-29,至今,石大怿,4年又234天,14.80%,2013-03-04,0.09%,6.95
